name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Ben Mee,DEF,Brentford,4.2,0,0,17,0,0.4,526,0.0,0.0,0.0,1.89,368,1,0,5.5,46.2,2023-05-20T11:30:00Z,90,18,0,0,0,0,37,0,1655711,1,3,1,8.0,2,-50156,36320,86476,49,False,0,2022-23,37,4.9,,,,,,,,,,,,,DEF,ben mee,0,90.0,90.0,5.0,4.6,0.2579999999999997,0.23600000000000004,0.02200000000000023,0.4,0.0,90.0,1.0,5.96,3.43,5.889999999999999,5.42,1,0,0
Bryan Mbeumo,FWD,Brentford,7.0,1,3,67,0,15.2,95,0.54,0.98,0.44,1.89,368,1,2,17.2,89.6,2023-05-20T11:30:00Z,90,18,0,0,0,0,37,0,398686,1,3,1,67.0,16,46892,63093,16201,56,False,0,2022-23,37,5.6,,,,,,,,,,,,,FWD,bryan mbeumo,0,90.0,77.6,4.0,5.0,0.5199999999999998,0.37599999999999995,0.14400000000000018,0.2,0.0,85.03999999999999,1.0,5.4399999999999995,3.9199999999999995,5.599999999999999,4.48,0,0,0
Callum Wilson,FWD,Newcastle,8.5,0,0,-4,1,0.3,356,0.0,0.41,0.41,0.0,366,0,0,2.6,0.0,2023-05-22T19:00:00Z,67,10,0,0,0,0,37,0,1921621,1,0,0,31.0,2,359101,413069,53968,72,True,0,2022-23,37,7.2,,,,,,,,,,,,,FWD,callum wilson,0,79.66666666666667,74.0,8.666666666666666,10.2,1.2499999999999996,1.186,0.0640000000000002,0.0,0.0,77.4,0.9675,9.813333333333334,4.8762,9.249999999999998,8.06,1,0,1
David De Gea Quintana,GK,Man Utd,9.9,0,0,15,0,0.0,327,0.0,0.0,0.0,1.93,319,1,0,2.8,28.0,2023-05-25T19:00:00Z,90,6,0,0,0,0,37,4,1724295,1,1,4,0.0,3,184028,203581,19553,51,True,0,2022-23,37,5.1,,,,,,,,,,,,,GK,david de gea quintana,0,90.0,90.0,5.333333333333333,5.0,0.0,0.0,0.0,0.6,2.6,90.0,1.0,6.306666666666667,3.5699999999999994,5.4,5.64,1,0,0
Dwight McNeil,MID,Everton,6.8,0,0,17,0,29.4,534,0.46,0.46,0.0,1.55,370,1,0,5.1,21.2,2023-05-20T14:00:00Z,90,20,0,0,0,0,37,0,72317,1,1,1,0.0,2,25183,30644,5461,51,False,0,2022-23,37,5.1,,,,,,,,,,,,,MID,dwight mcneil,0,90.0,90.0,8.333333333333334,7.2,0.5899999999999996,0.4079999999999999,0.18200000000000016,0.2,0.0,90.0,1.0,8.706666666666667,3.5699999999999994,5.949999999999998,5.61,1,0,0
Erling Haaland,FWD,Man City,12.4,0,0,2,0,0.3,318,0.04,0.14,0.1,0.19,365,0,0,0.4,0.0,2023-05-21T15:00:00Z,16,6,0,0,0,0,37,0,9565582,0,0,1,6.0,1,39191,51874,12683,124,True,0,2022-23,37,12.4,,,,,,,,,,,,,FWD,erling haaland,0,85.66666666666667,87.4,5.666666666666667,7.8,0.9219999999999995,0.8539999999999999,0.06800000000000019,0.4,0.0,86.36,1.0,9.493333333333336,8.68,7.609999999999998,7.56,1,0,0
James Maddison,MID,Leicester,3.0,0,0,4,0,18.0,261,0.13,0.13,0.0,1.04,366,0,0,2.7,8.6,2023-05-22T19:00:00Z,45,15,0,0,0,0,37,0,502271,0,0,0,0.0,1,-24708,4918,29626,78,False,0,2022-23,37,7.8,,,,,,,,,,,,,MID,james maddison,0,90.0,72.0,4.333333333333333,3.8,0.7919999999999991,0.6499999999999997,0.14200000000000007,0.0,0.0,82.8,1.0,6.586666666666667,5.46,6.9599999999999955,6.77,1,0,0
Jason Steele,GK,Brighton,6.7,0,0,8,0,0.0,102,0.0,0.0,0.0,0.65,362,1,0,0.4,4.0,2023-05-21T13:00:00Z,90,17,0,0,0,0,37,0,681104,1,1,3,0.0,2,52309,69146,16837,40,True,0,2022-23,37,4.0,,,,,,,,,,,,,GK,jason steele,0,90.0,90.0,1.6666666666666667,4.0,0.0,0.0,0.0,0.6,3.0,90.0,1.0,2.9333333333333336,2.8,5.4,5.51,0,0,0
Kaoru Mitoma,MID,Brighton,5.5,0,0,0,0,18.3,124,0.07,1.54,1.47,1.78,314,1,0,11.6,11.8,2023-05-24T19:00:00Z,90,13,0,0,0,0,37,0,3313233,1,1,1,86.0,2,35816,116586,80770,57,True,0,2022-23,37,5.7,,,,,,,,,,,,,MID,kaoru mitoma,0,89.33333333333333,89.6,3.3333333333333335,3.6,0.4999999999999993,0.3899999999999998,0.11000000000000003,0.4,0.0,89.44,1.0,4.946666666666667,3.9899999999999998,5.4999999999999964,5.34,0,0,0
Mohamed Salah,MID,Liverpool,9.5,1,0,13,0,21.0,283,0.42,0.52,0.1,1.39,364,1,0,10.9,24.4,2023-05-20T14:00:00Z,90,2,0,0,0,0,37,0,4046340,1,1,1,64.0,5,-54001,92075,146076,131,True,0,2022-23,37,13.1,,,,,,,,,,,,,MID,mohamed salah,0,86.66666666666667,88.0,11.0,8.4,0.9719999999999992,0.7939999999999999,0.17800000000000007,0.6,0.0,87.2,1.0,14.0,9.17,7.859999999999996,8.73,1,1,0
Morgan Gibbs-White,MID,Nott'm Forest,5.3,1,0,11,1,1.1,493,0.01,0.21,0.2,0.64,367,0,0,3.0,5.8,2023-05-20T16:30:00Z,90,1,0,0,0,0,37,0,109908,1,0,1,23.0,5,4893,21387,16494,55,True,1,2022-23,37,5.5,,,,,,,,,,,,,MID,morgan gibbs-white,0,90.0,90.0,6.0,7.4,0.599999999999999,0.41399999999999987,0.18600000000000005,0.0,0.0,90.0,1.0,7.000000000000001,3.8499999999999996,5.999999999999995,5.75,1,0,0
Pervis Estupiñán,DEF,Brighton,10.1,0,0,16,0,43.5,586,0.16,0.26,0.1,0.65,362,1,0,7.5,18.2,2023-05-21T13:00:00Z,90,17,0,0,0,0,37,0,2337731,1,1,3,13.0,2,309090,319564,10474,50,True,0,2022-23,37,5.0,,,,,,,,,,,,,DEF,pervis estupiñán,0,90.0,90.0,5.666666666666667,6.6,0.2639999999999988,0.14999999999999983,0.11399999999999991,0.6,0.0,90.0,1.0,6.533333333333334,3.5,6.7199999999999935,6.16,1,0,0
Trent Alexander-Arnold,DEF,Liverpool,6.9,0,0,11,0,35.2,285,0.07,0.17,0.1,1.39,364,1,0,6.2,19.4,2023-05-20T14:00:00Z,90,2,0,0,0,0,37,0,3363588,1,1,1,7.0,1,116055,150114,34059,77,True,1,2022-23,37,7.7,,,,,,,,,,,,,DEF,trent alexander-arnold,0,90.0,90.0,9.0,7.2,0.2899999999999991,0.08000000000000004,0.21000000000000002,0.6,0.0,90.0,1.0,10.280000000000001,5.39,6.849999999999996,6.39,1,0,0
Victor Lindelöf,DEF,Man Utd,8.9,0,0,15,0,0.3,337,0.04,0.04,0.0,1.93,319,1,0,2.3,22.6,2023-05-25T19:00:00Z,90,6,0,0,0,0,37,0,164018,1,1,4,0.0,2,64738,69615,4877,41,True,0,2022-23,37,4.1,,,,,,,,,,,,,DEF,victor lindelöf,0,90.0,90.0,5.0,4.6,0.09199999999999903,0.03200000000000002,0.06000000000000001,0.6,0.0,90.0,1.0,5.64,2.8699999999999997,5.859999999999995,5.01,0,0,0
Virgil van Dijk,DEF,Liverpool,5.7,0,0,19,0,12.6,280,0.05,0.05,0.0,1.39,364,1,0,4.2,27.4,2023-05-20T14:00:00Z,90,2,0,0,0,0,37,0,1356795,1,1,1,2.0,2,7695,25361,17666,66,True,0,2022-23,37,6.6,,,,,,,,,,,,,DEF,virgil van dijk,0,90.0,90.0,7.666666666666667,5.2,0.15399999999999903,0.06400000000000002,0.09,0.6,0.0,90.0,1.0,8.773333333333333,4.619999999999999,6.169999999999995,5.54,1,0,0
