artifact_name,path,size_bytes,sha256,created_at,modified_at,integrity_status
00_governance.json,reports\dry_run\c10b_midfield\00_governance.json,337,0d6b5cca4e700bb9c66075c5e28b95fc9fb5b85941ecef97efbeb49ffed8e027,2026-08-28T13:31:28.235091+00:00,2026-08-28T13:31:28.235091+00:00,INTACT_UNMODIFIED
01_c9_reproduction.json,reports\dry_run\c10b_midfield\01_c9_reproduction.json,309,79d97007d0b19b9aa8d18f1a86e731ef67dba033570a62951eb734f90ddb45e9,2026-08-28T13:31:28.236091+00:00,2026-08-28T13:31:28.236091+00:00,INTACT_UNMODIFIED
02_c10a9_reproduction.json,reports\dry_run\c10b_midfield\02_c10a9_reproduction.json,643,f00b444e93f448a928b0d7c08ea5ed47a4bb33f6c6a9b4a7a1e0fab4da5d1fab,2026-08-28T13:31:28.236091+00:00,2026-08-28T13:31:28.237091+00:00,INTACT_UNMODIFIED
03_midfield_data_inventory.csv,reports\dry_run\c10b_midfield\03_midfield_data_inventory.csv,1267,9f28e5792b0d037888b3a5f8082dbca9752156c629b014cc7f290146bd1596c3,2026-08-28T13:31:28.244223+00:00,2026-08-28T13:31:28.245222+00:00,INTACT_UNMODIFIED
04_midfield_source_coverage.csv,reports\dry_run\c10b_midfield\04_midfield_source_coverage.csv,254,586ce4ad3aeeb3da6d70c8c141ca7b4d67d313dc5cbc543c8b1966fe5cf2082e,2026-08-28T13:31:28.247221+00:00,2026-08-28T13:31:28.250223+00:00,INTACT_UNMODIFIED
05_quality_vs_style_registry.csv,reports\dry_run\c10b_midfield\05_quality_vs_style_registry.csv,426,48cfaab95f41d0360af47f78cf50cfacc247022bbe77298010c85c821f8cf85d,2026-08-28T13:31:28.253226+00:00,2026-08-28T13:31:28.253226+00:00,INTACT_UNMODIFIED
06_control_candidates.csv,reports\dry_run\c10b_midfield\06_control_candidates.csv,177,c2a00906b9daabef54e2e50e97850106fd825623334daf1927609a9eb0ac6753,2026-08-28T13:31:28.255229+00:00,2026-08-28T13:31:28.256224+00:00,INTACT_UNMODIFIED
07_progression_candidates.csv,reports\dry_run\c10b_midfield\07_progression_candidates.csv,210,7c5eff262cd9672bf055273fd45cc93a05e897662e628fb710e5139b1f8f597c,2026-08-28T13:31:28.258222+00:00,2026-08-28T13:31:28.258222+00:00,INTACT_UNMODIFIED
08_disruption_candidates.csv,reports\dry_run\c10b_midfield\08_disruption_candidates.csv,185,8bbb65e5a586714fcc302e6e52922fc86a9bcbe4a41aeca2842bfaeb60795582,2026-08-28T13:31:28.260221+00:00,2026-08-28T13:31:28.261221+00:00,INTACT_UNMODIFIED
09_duel_analysis.csv,reports\dry_run\c10b_midfield\09_duel_analysis.csv,305,7f8eed851cb41760559a3cfd077af58388914d9fcca1a4bf80c740ff5a7a538b,2026-08-28T13:31:28.263219+00:00,2026-08-28T13:31:28.263219+00:00,INTACT_UNMODIFIED
10_clean_sheet_analysis.csv,reports\dry_run\c10b_midfield\10_clean_sheet_analysis.csv,199,971572315d2dd47f276949b2997fb8e9001e678cc5016f1340616f32a80e1c84,2026-08-28T13:31:28.266216+00:00,2026-08-28T13:31:28.266216+00:00,INTACT_UNMODIFIED
11_possession_adjustment.md,reports\dry_run\c10b_midfield\11_possession_adjustment.md,325,8d5c5c8aac5d22e943aa92109fde644f54dfee659208426bc3b6c72d3591586f,2026-08-28T13:31:28.268215+00:00,2026-08-28T13:31:28.268215+00:00,INTACT_UNMODIFIED
12_opponent_adjustment.md,reports\dry_run\c10b_midfield\12_opponent_adjustment.md,327,fd9ab02c8f64839d9efa95509dcf96b85c18e943e3d0f861c84c5174e50c5a51,2026-08-28T13:31:28.268215+00:00,2026-08-28T13:31:28.268215+00:00,INTACT_UNMODIFIED
13_midfield_latent_definitions.json,reports\dry_run\c10b_midfield\13_midfield_latent_definitions.json,720,6253b33d59afbf2721c47869f606bda0055c5a003e5f90d0f047d6c1a2e567ac,2026-08-28T13:31:28.269214+00:00,2026-08-28T13:31:28.269214+00:00,INTACT_UNMODIFIED
14_feature_correlations.csv,reports\dry_run\c10b_midfield\14_feature_correlations.csv,394,813b84a1bf571d92b47e576089149f4a9f6284291ef768cf146359022bfefeed,2026-08-28T13:31:28.271215+00:00,2026-08-28T13:31:28.271215+00:00,INTACT_UNMODIFIED
15_challenger_results.csv,reports\dry_run\c10b_midfield\15_challenger_results.csv,915,78151ccc02c85754fee83e499d1a1acc7f1c07d011ea680ec9f2039e33860e05,2026-08-28T13:31:28.274213+00:00,2026-08-28T13:31:28.274213+00:00,INTACT_UNMODIFIED
16_bootstrap_results.csv,reports\dry_run\c10b_midfield\16_bootstrap_results.csv,365,5e93d742f2a44d1587c1a99c7a4ec25e132ff01094550f016909b8b3a4fadff6,2026-08-28T13:31:28.277211+00:00,2026-08-28T13:31:28.278210+00:00,INTACT_UNMODIFIED
17_season_robustness.csv,reports\dry_run\c10b_midfield\17_season_robustness.csv,267,b33c3d1e05e9ffd8eaf69854fccd3a095455a33924f301f429452c9af0f538ea,2026-08-28T13:31:28.280208+00:00,2026-08-28T13:31:28.280208+00:00,INTACT_UNMODIFIED
18_team_robustness.csv,reports\dry_run\c10b_midfield\18_team_robustness.csv,396,7fc5549fab20d031fb25d878522cf2091c035fefc70855c60e13465a3677309d,2026-08-28T13:31:28.283207+00:00,2026-08-28T13:31:28.283207+00:00,INTACT_UNMODIFIED
19_leakage_audit.json,reports\dry_run\c10b_midfield\19_leakage_audit.json,252,f84c71048f7c55a52b3270a84d3130f169ec6fa49eae93f3e429571ee2c7a6fd,2026-08-28T13:31:28.285206+00:00,2026-08-28T13:31:28.285206+00:00,INTACT_UNMODIFIED
20_midfield_examples.md,reports\dry_run\c10b_midfield\20_midfield_examples.md,1659,7287fe9cde00aa4dad1a47e873ef1bbfcabdbec5fea71741a9764322bb295711,2026-08-28T13:31:28.286204+00:00,2026-08-28T13:31:28.286204+00:00,INTACT_UNMODIFIED
21_c10c_style_candidate_registry.csv,reports\dry_run\c10b_midfield\21_c10c_style_candidate_registry.csv,395,2f6228ecb585179edf25e3a4008d09570ccefa377d6c62239b6f40fefa98afe9,2026-08-28T13:31:28.287205+00:00,2026-08-28T13:31:28.287205+00:00,INTACT_UNMODIFIED
22_c10d_setpiece_candidate_registry.csv,reports\dry_run\c10b_midfield\22_c10d_setpiece_candidate_registry.csv,258,f901fbdf0b1d031fb2b72b183a593b8bcd9b705d060bb91c67c217725d6e3648,2026-08-28T13:31:28.289203+00:00,2026-08-28T13:31:28.290203+00:00,INTACT_UNMODIFIED
23_c10b_decision.json,reports\dry_run\c10b_midfield\23_c10b_decision.json,834,0b644f2398e4e8ef25dacdddb8fe3dcf84230d276b73ef70430bdc9f59cda057,2026-08-28T13:31:28.291200+00:00,2026-08-28T13:31:28.291200+00:00,INTACT_UNMODIFIED
24_final_report.md,reports\dry_run\c10b_midfield\24_final_report.md,1056,c65ddb6cb9812ef99f4011ff081f80e5c2785695c363ef77e9df91d2a6d21fc0,2026-08-28T13:31:28.292200+00:00,2026-08-28T13:31:28.292200+00:00,INTACT_UNMODIFIED
