name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Alphonse Areola,GK,West Ham,8.5,0,0,13,0,0.0,524,0.0,0.0,0.0,1.44,210,1,0,2.3,23.4,2024-01-21T14:00:00Z,90,17,0,0,0,0,21,4,3855483,1,2,2,0.0,3,304256,350920,46664,42,False,0,2023-24,21,4.2,,,,,,,,,,,,,GK,alphonse areola,1,90.0,54.0,9.666666666666666,5.8,0.0,0.0,0.0,0.6,3.8,75.6,0.945,9.413333333333334,2.7782999999999998,5.4,5.78,1,0,0
Bukayo Saka,MID,Arsenal,4.5,0,0,17,1,56.2,19,0.41,0.51,0.1,0.33,201,0,0,8.4,14.4,2024-01-20T12:30:00Z,90,8,0,0,0,0,21,0,6642816,1,0,5,13.0,3,543310,717662,174352,91,True,0,2023-24,21,9.1,,,,,,,,,,,,,MID,bukayo saka,1,90.0,89.6,3.3333333333333335,3.0,0.7559999999999997,0.44799999999999984,0.3080000000000002,0.2,0.0,89.84,1.0,6.306666666666667,6.369999999999999,6.7799999999999985,6.48,1,0,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,5,0,2.3,85,0.0,0.08,0.08,1.22,202,3,0,2.5,1.4,2024-01-21T16:30:00Z,82,11,0,0,0,0,21,0,2887385,1,4,0,21.0,2,3991,300958,296967,71,True,0,2023-24,21,7.1,,,,,,,,,,,,,FWD,dominic solanke,1,90.0,89.4,8.333333333333334,6.8,0.7379999999999997,0.712,0.026000000000000134,0.6,0.0,89.76,1.0,9.506666666666668,4.97,6.689999999999998,6.3,1,0,0
Jarrod Bowen,MID,West Ham,2.1,0,0,0,0,0.8,526,0.01,0.37,0.36,2.23,210,2,0,2.6,0.0,2024-01-21T14:00:00Z,90,17,0,0,0,0,21,0,3006419,1,2,2,30.0,2,229138,825672,596534,81,False,0,2023-24,21,8.1,,,,,,,,,,,,,MID,jarrod bowen,1,89.0,89.4,5.666666666666667,5.4,0.5499999999999992,0.35799999999999965,0.19200000000000014,0.8,0.0,89.16,1.0,7.773333333333334,5.669999999999999,5.749999999999996,5.66,0,0,0
João Pedro Junqueira de Jesus,FWD,Brighton,6.7,0,0,11,1,10.5,135,0.11,0.47,0.36,1.38,204,0,0,8.1,11.6,2024-01-22T19:45:00Z,90,20,0,0,0,0,21,0,1434951,1,0,0,59.0,2,288188,419002,130814,54,True,0,2023-24,21,5.4,,,,,,,,,,,,,FWD,joão pedro junqueira de jesus,1,90.0,78.0,6.666666666666667,4.6,0.7979999999999994,0.5979999999999996,0.2000000000000001,0.2,0.0,85.2,1.0,7.493333333333334,3.78,6.989999999999997,5.93,1,0,0
Julián Álvarez,FWD,Man City,6.2,0,0,15,0,47.3,343,0.16,0.79,0.63,1.23,209,2,0,13.0,18.0,2024-01-13T17:30:00Z,90,15,0,0,0,0,21,0,3828811,1,3,2,65.0,2,161713,444120,282407,70,False,0,2023-24,21,7.0,,,,,,,,,,,,,FWD,julián álvarez,1,90.0,85.4,5.666666666666667,4.8,0.7899999999999994,0.5939999999999996,0.1960000000000001,0.4,0.0,88.16,1.0,7.333333333333334,4.8999999999999995,6.949999999999997,6.03,1,0,0
Konstantinos Mavropanos,DEF,West Ham,5.8,0,0,6,0,0.1,676,0.0,0.03,0.03,2.23,210,2,0,1.6,12.0,2024-01-21T14:00:00Z,90,17,0,0,0,0,21,0,17392,1,2,2,4.0,1,5279,11053,5774,45,False,0,2023-24,21,4.5,,,,,,,,,,,,,DEF,konstantinos mavropanos,1,90.0,63.0,9.0,5.4,0.055999999999999314,0.043999999999999824,0.012,0.6,0.0,79.2,0.99,9.0,3.1185,5.679999999999996,4.86,0,0,0
Marcos Senesi,DEF,Bournemouth,0.0,0,0,0,0,0.0,83,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,11,0,0,0,0,21,0,349499,0,4,0,0.0,0,-213208,19913,233121,45,True,0,2023-24,21,4.5,,,,,,,,,,,,,DEF,marcos senesi,1,90.0,90.0,3.6666666666666665,8.0,0.23599999999999915,0.1479999999999999,0.08800000000000004,0.6,0.0,90.0,1.0,4.733333333333333,3.15,6.5799999999999965,6.03,1,0,0
Michael Olise,MID,Crystal Palace,3.8,0,0,0,0,0.0,236,0.0,0.0,0.0,0.0,201,0,0,0.0,0.0,2024-01-20T12:30:00Z,0,1,0,0,0,0,21,0,155184,0,0,5,0.0,0,42078,121079,79001,59,False,0,2023-24,21,5.9,,,,,,,,,,,,,MID,michael olise,1,90.0,76.4,10.0,8.0,0.7479999999999991,0.4499999999999999,0.29800000000000004,0.0,0.0,84.56,1.0,10.36,4.13,6.739999999999996,6.2,1,0,0
Mohamed Salah,MID,Liverpool,0.0,0,0,0,0,0.0,308,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,3,0,0,0,0,21,0,3063891,0,4,0,0.0,0,-2693401,53878,2747279,132,False,0,2023-24,21,13.2,,,,,,,,,,,,,MID,mohamed salah,1,90.0,90.0,8.666666666666666,8.4,1.181999999999999,0.7899999999999999,0.392,0.4,0.0,90.0,1.0,12.213333333333335,9.239999999999998,8.909999999999995,9.27,1,1,0
Norberto Murara Neto,GK,Bournemouth,3.5,0,0,14,0,0.0,77,0.0,0.0,0.0,1.61,202,4,0,1.8,18.4,2024-01-21T16:30:00Z,90,11,0,0,0,0,21,3,366814,1,4,0,0.0,1,1346,44945,43599,46,True,0,2023-24,21,4.6,,,,,,,,,,,,,GK,norberto murara neto,1,90.0,90.0,4.0,5.4,0.0,0.0,0.0,0.6,2.8,90.0,1.0,5.04,3.2199999999999998,5.4,5.49,0,0,0
Pedro Porro,DEF,Spurs,4.3,1,2,32,0,77.9,506,0.52,0.56,0.04,0.84,208,2,0,14.1,54.4,2024-01-14T16:30:00Z,90,14,0,0,0,0,21,0,3369613,1,2,2,9.0,6,479625,566617,86992,58,False,0,2023-24,21,5.8,,,,,,,,,,,,,DEF,pedro porro,1,90.0,90.0,3.0,4.4,0.4199999999999989,0.14399999999999985,0.2759999999999999,0.2,0.0,90.0,1.0,4.720000000000001,4.06,5.899999999999994,5.26,1,0,0
Richarlison de Andrade,MID,Spurs,5.7,0,1,27,0,12.8,509,0.01,0.29,0.28,0.84,208,2,1,11.9,44.0,2024-01-14T16:30:00Z,90,14,0,0,0,0,21,0,1167629,1,2,2,62.0,8,546913,662918,116005,69,False,0,2023-24,21,6.9,,,,,,,,,,,,,MID,richarlison de andrade,1,69.0,70.0,5.666666666666667,8.2,0.6959999999999991,0.6379999999999999,0.057999999999999975,0.8,0.0,69.4,0.8675,7.293333333333335,4.190025,6.479999999999995,6.03,1,0,0
Trent Alexander-Arnold,DEF,Liverpool,0.0,0,0,0,0,0.0,290,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,3,0,0,0,0,21,0,2305200,0,4,0,0.0,0,-345338,433571,778909,85,False,0,2023-24,21,8.5,,,,,,,,,,,,,DEF,trent alexander-arnold,1,90.0,90.0,4.333333333333333,5.2,0.551999999999999,0.23600000000000004,0.316,0.4,0.0,90.0,1.0,6.866666666666667,5.949999999999999,7.359999999999996,6.66,1,0,1
Yerson Mosquera,DEF,Wolves,1.3,0,0,0,0,0.0,788,0.0,0.0,0.0,0.0,204,0,0,0.0,0.0,2024-01-22T19:45:00Z,0,5,0,0,0,0,21,0,0,0,0,0,0.0,0,0,0,0,40,False,0,2023-24,21,4.0,,,,,,,,,,,,,DEF,yerson mosquera,1,90.0,67.5,5.5,3.0,0.33499999999999874,0.305,0.03000000000000004,0.0,0.0,81.0,1.0,6.0,2.8,4.674999999999994,4.83,0,0,0
