name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Axel Disasi,DEF,Chelsea,3.0,0,0,11,0,12.7,611,0.13,0.15,0.02,1.04,55,1,0,3.4,15.4,2023-09-24T13:00:00Z,90,2,0,0,0,0,6,0,708800,1,1,0,6.0,2,-3091,38929,42020,51,True,0,2023-24,6,5.1,,,,,,,,,,,,,DEF,axel disasi,1,90.0,90.0,4.333333333333333,4.8,0.2919999999999997,0.13400000000000004,0.15800000000000022,0.4,0.0,90.0,1.0,5.506666666666667,3.5699999999999994,6.059999999999999,5.2,1,0,0
Bernd Leno,GK,Fulham,5.2,0,3,33,1,0.0,275,0.0,0.0,0.0,0.3,56,0,0,2.2,22.4,2023-09-23T14:00:00Z,90,8,0,0,0,0,6,3,1330243,1,0,0,0.0,10,82234,121109,38875,46,False,0,2023-24,6,4.6,,,,,,,,,,,,,GK,bernd leno,1,90.0,90.0,3.6666666666666665,5.0,0.0,0.0,0.0,0.4,4.8,90.0,1.0,4.773333333333333,3.2199999999999998,4.6,5.13,1,0,0
Bruno Borges Fernandes,MID,Man Utd,7.2,0,2,30,1,30.4,373,0.21,0.53,0.32,1.12,54,0,1,13.6,50.8,2023-09-23T19:00:00Z,90,6,0,0,0,0,6,0,1936909,1,1,0,55.0,10,-128173,71794,199967,84,False,0,2023-24,6,8.4,,,,,,,,,,,,,MID,bruno borges fernandes,1,90.0,90.0,5.0,3.8,0.8599999999999997,0.41399999999999987,0.4460000000000002,0.2,0.0,90.0,1.0,7.36,5.88,7.299999999999998,6.84,1,0,0
Bryan Mbeumo,MID,Brentford,3.2,0,0,5,0,20.8,108,0.18,0.34,0.16,1.84,52,3,0,5.4,11.4,2023-09-23T16:30:00Z,90,9,0,0,0,0,6,0,3141164,1,3,1,22.0,1,387961,456822,68861,69,True,1,2023-24,6,6.9,,,,,,,,,,,,,MID,bryan mbeumo,1,90.0,90.0,4.0,7.0,1.0079999999999996,0.82,0.1880000000000002,0.2,0.0,90.0,1.0,5.960000000000001,4.83,8.039999999999997,8.52,1,0,1
Cristian Romero,DEF,Spurs,3.0,0,0,5,0,1.7,511,0.07,0.07,0.0,2.08,51,2,0,1.1,9.0,2023-09-24T13:00:00Z,90,1,1,0,0,0,6,0,1607234,1,2,2,0.0,-2,83579,149608,66029,48,False,1,2023-24,6,4.8,,,,,,,,,,,,,DEF,cristian romero,1,90.0,74.6,5.333333333333333,5.8,0.1599999999999996,0.13600000000000004,0.024000000000000132,0.4,0.0,83.84,1.0,6.1866666666666665,3.36,5.399999999999999,4.57,0,0,0
Eberechi Eze,MID,Crystal Palace,3.5,0,0,9,1,45.0,226,0.34,0.45,0.11,0.59,56,0,0,7.9,15.4,2023-09-23T14:00:00Z,90,10,0,0,0,0,6,0,890614,1,0,0,19.0,3,-26165,64761,90926,63,True,0,2023-24,6,6.3,,,,,,,,,,,,,MID,eberechi eze,1,90.0,90.0,3.6666666666666665,3.2,0.6659999999999997,0.4299999999999999,0.23600000000000013,0.2,0.0,90.0,1.0,5.453333333333333,4.409999999999999,6.329999999999998,6.07,1,0,0
Erling Haaland,FWD,Man City,10.0,0,0,24,1,3.3,355,0.01,0.7,0.69,1.03,59,0,1,5.9,32.4,2023-09-23T14:00:00Z,90,16,0,0,0,0,6,0,9176859,1,0,2,23.0,6,39924,50069,10145,141,True,0,2023-24,6,14.1,,,,,,,,,,,,,FWD,erling haaland,1,90.0,87.8,10.0,9.0,1.4619999999999995,1.4199999999999997,0.04200000000000018,0.4,0.0,89.12,1.0,13.64,9.87,10.309999999999999,10.83,1,1,0
Guglielmo Vicario,GK,Spurs,3.0,0,0,20,0,0.0,520,0.0,0.0,0.0,2.08,51,2,0,3.0,30.2,2023-09-24T13:00:00Z,90,1,0,0,0,0,6,4,554210,1,2,2,0.0,2,-15983,37105,53088,51,False,0,2023-24,6,5.1,,,,,,,,,,,,,GK,guglielmo vicario,1,90.0,90.0,4.0,4.8,0.0,0.0,0.0,0.4,4.0,90.0,1.0,5.24,3.5699999999999994,4.6,5.09,0,0,0
Levi Colwill,DEF,Chelsea,3.3,0,0,18,0,0.6,197,0.0,0.0,0.0,1.04,55,1,0,2.5,24.8,2023-09-24T13:00:00Z,90,2,0,0,0,0,6,0,392056,1,1,0,0.0,2,-821,24865,25686,45,True,0,2023-24,6,4.5,,,,,,,,,,,,,DEF,levi colwill,1,86.33333333333333,87.8,4.666666666666667,3.4,0.21199999999999922,0.16799999999999987,0.04399999999999997,0.4,0.0,86.91999999999999,1.0,5.533333333333334,3.15,5.659999999999997,4.93,1,0,0
Matty Cash,DEF,Aston Villa,5.8,0,0,26,1,2.0,36,0.01,0.07,0.06,1.35,55,0,0,4.6,12.6,2023-09-24T13:00:00Z,90,7,0,0,0,0,6,0,1701438,1,1,0,31.0,6,60222,154343,94121,47,False,0,2023-24,6,4.7,,,,,,,,,,,,,DEF,matty cash,1,90.0,89.2,5.666666666666667,4.4,0.6319999999999991,0.5659999999999998,0.066,0.2,0.0,89.68,1.0,6.413333333333334,3.29,6.9599999999999955,7.25,1,0,0
