name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Alejandro Garnacho,MID,Man Utd,1.8,0,0,8,0,1.5,382,0.01,0.01,0.0,3.2,266,2,0,1.1,3.4,2024-03-03T15:30:00Z,81,13,0,0,0,0,27,0,1054902,1,1,3,6.0,2,-103139,28056,131195,50,False,0,2023-24,27,5.0,,,,,,,,,,,,,MID,alejandro garnacho,1,90.0,90.0,3.0,5.2,0.5099999999999999,0.302,0.20800000000000002,0.2,0.0,90.0,1.0,4.4,3.5,5.549999999999999,5.0,0,0,0
Anel Ahmedhodžić,DEF,Sheffield Utd,-1.0,0,0,8,0,0.3,471,0.0,0.0,0.0,2.16,269,6,0,1.6,15.4,2024-03-04T20:00:00Z,63,1,0,0,0,0,27,0,17682,1,6,0,0.0,-1,-163,171,334,43,True,0,2023-24,27,4.3,,,,,,,,,,,,,DEF,anel ahmedhodžić,1,90.0,90.0,1.0,0.6,0.23599999999999968,0.23400000000000004,0.002000000000000133,0.0,0.0,90.0,1.0,2.52,3.01,4.179999999999998,4.41,0,0,0
Bukayo Saka,MID,Arsenal,13.3,2,0,23,0,36.5,19,0.26,0.52,0.26,0.03,269,0,0,7.8,17.6,2024-03-04T20:00:00Z,45,17,0,0,0,0,27,0,7138419,1,6,0,24.0,7,297152,312623,15471,92,False,0,2023-24,27,9.2,,,,,,,,,,,,,MID,bukayo saka,1,69.66666666666667,75.4,13.333333333333334,11.8,1.182,0.8539999999999999,0.3280000000000002,0.6,0.0,71.96000000000001,0.8995000000000001,14.0,5.7927800000000005,8.91,8.19,1,1,0
Dominic Solanke,FWD,Bournemouth,2.8,0,0,1,1,11.0,85,0.1,0.29,0.19,1.49,262,0,0,4.1,11.2,2024-03-03T13:00:00Z,88,6,0,0,0,0,27,0,2534527,1,2,0,19.0,2,180494,393100,212606,71,False,0,2023-24,27,7.1,,,,,,,,,,,,,FWD,dominic solanke,1,90.0,90.0,6.0,5.6,0.8399999999999996,0.756,0.08400000000000014,0.0,0.0,90.0,1.0,7.640000000000001,4.97,7.199999999999998,6.59,1,0,0
Ederson Santana de Moraes,GK,Man City,6.8,0,0,9,0,0.0,352,0.0,0.0,0.0,0.26,266,1,0,0.5,5.2,2024-03-03T15:30:00Z,90,14,0,0,0,0,27,0,1694721,1,1,3,0.0,2,18953,40989,22036,55,True,0,2023-24,27,5.5,,,,,,,,,,,,,GK,ederson santana de moraes,1,90.0,90.0,6.666666666666667,5.8,0.001999999999999689,0.0,0.0020000000000001445,0.6,2.6,90.0,1.0,7.533333333333334,3.8499999999999996,5.409999999999998,5.81,1,0,0
Erling Haaland,FWD,Man City,7.8,0,0,21,0,2.1,355,0.06,1.64,1.58,0.26,266,1,1,6.2,26.2,2024-03-03T15:30:00Z,90,14,0,0,0,0,27,0,8224496,1,1,3,34.0,6,123547,158108,34561,145,True,0,2023-24,27,14.5,,,,,,,,,,,,,FWD,erling haaland,1,84.66666666666667,85.8,5.0,6.6,0.9619999999999995,0.8779999999999998,0.08400000000000017,0.6,0.0,85.12,1.0,9.8,10.149999999999999,7.809999999999998,7.86,1,0,1
Gabriel dos Santos Magalhães,DEF,Arsenal,8.0,0,0,28,1,9.8,5,0.06,0.06,0.0,0.23,269,0,0,3.0,20.0,2024-03-04T20:00:00Z,90,17,0,0,0,0,27,0,2896583,1,6,0,0.0,6,185766,206104,20338,53,False,0,2023-24,27,5.3,,,,,,,,,,,,,DEF,gabriel dos santos magalhães,1,90.0,90.0,6.666666666666667,4.2,0.21999999999999947,0.19999999999999968,0.02000000000000022,0.4,0.0,90.0,1.0,7.453333333333334,3.7099999999999995,5.6999999999999975,5.15,1,0,0
Harry Maguire,DEF,Man Utd,0.6,0,0,0,0,0.0,387,0.0,0.0,0.0,0.0,266,0,0,0.0,0.0,2024-03-03T15:30:00Z,0,13,0,0,0,0,27,0,219205,0,1,3,0.0,0,-25815,11608,37423,42,False,0,2023-24,27,4.2,,,,,,,,,,,,,DEF,harry maguire,1,75.0,63.8,4.333333333333333,4.0,0.3619999999999994,0.23599999999999968,0.12600000000000017,0.2,0.0,70.52,0.8815,5.1466666666666665,2.5916099999999997,5.609999999999997,4.43,1,0,0
Kai Havertz,MID,Arsenal,12.3,1,3,41,1,48.8,6,0.16,0.33,0.17,0.23,269,0,1,16.1,62.6,2024-03-04T20:00:00Z,90,17,0,0,0,0,27,0,234648,1,6,0,50.0,14,59959,63773,3814,71,False,0,2023-24,27,7.1,,,,,,,,,,,,,MID,kai havertz,1,82.66666666666667,71.4,9.666666666666666,6.8,0.6679999999999992,0.5999999999999999,0.06800000000000005,0.6,0.0,78.16,0.977,10.573333333333334,4.85569,6.339999999999996,6.28,1,0,0
Luis Díaz,MID,Liverpool,6.5,0,0,12,1,20.4,303,0.1,0.62,0.52,1.05,268,0,0,6.9,7.0,2024-03-02T15:00:00Z,90,16,0,0,0,0,27,0,1175932,1,1,0,42.0,3,155243,186275,31032,75,False,0,2023-24,27,7.5,,,,,,,,,,,,,MID,luis díaz,1,86.33333333333333,87.8,7.0,7.6,0.8119999999999992,0.7239999999999999,0.08800000000000001,0.0,0.0,86.91999999999999,1.0,8.600000000000001,5.25,7.059999999999996,7.27,1,0,0
