E1_F2_Base,E2_PQ_Talent,E3_Availability,E4_Tactical_T7,E5_Context_D7
0.019723395823299867,0.005149126337281847,0.00033771559263632835,0.9523168356942875,0.022472926552494426
0.004334709501295942,0.002711448782771314,0.00022431621552778755,0.9782985362960178,0.014430989204387075
0.004630507309794162,0.0025744469222209808,0.0002751772680434377,0.9605223597160162,0.03199750878392536
0.024678259252873317,0.007107576451046563,0.0005284905399650836,0.9134394740598135,0.054246199696301414
0.1173419449269233,0.05924154848991581,0.00248758592193303,0.5296659694677437,0.2912629511934842
0.010274814749207372,0.026987769831661904,0.0005571824770828304,0.8363777833351494,0.12580244960689857
0.0025220806834395904,0.022491535372090112,0.00020837493317112186,0.9627686536061913,0.012009355405107775
0.031867569284336004,0.009425186603624666,0.0008650603387599921,0.8219009054437477,0.1359412783295315
0.04336026935870817,0.004547009114115477,0.0004836593098967569,0.8926186727471523,0.05899038947012726
0.27054874485373115,0.0448116876121676,0.0010211478440971678,0.2641918323322842,0.4194265873577198
0.02572179373440258,0.02123862818209659,0.0005455487460346769,0.8704777434576223,0.08201628587984375
0.0017615738252719497,0.002421842288015047,0.00018790793037614225,0.9754609296206455,0.02016774633569146
0.04605205067616236,0.016801269070991463,0.0007371193554719265,0.8491024168943264,0.08730714400304777
0.0025370958882025576,0.00206990308493216,0.0002032111194405896,0.9797106033081616,0.015479186599263171
0.006740485294539213,0.008566043411646166,0.00022267587308081715,0.9622107796004943,0.02226001582023956
0.061234535293654864,0.07197913854358791,0.00044938092942272003,0.7746820203677156,0.09165492486561877
0.027497626363143284,0.006870796043728943,0.0007087037021889928,0.23999421875997093,0.7249286551309679
0.03644881165435546,0.018441900243093633,0.00131071488784948,0.11639511830311425,0.8274034549115872
0.09461874577739217,0.13451771866890552,0.0014234524363161791,0.4625443997455706,0.3068956833718155
0.02181518574573533,0.004982229436413803,0.0005577605219867775,0.43950314786782463,0.5331416764280394
0.09164519803084575,0.13270658161027224,0.0018072559124469112,0.5493653531051219,0.22447561134131316
0.005010540620577912,0.003656050233704889,0.00031908210433527495,0.9610754388684231,0.029938888172959015
