fixture_id,home_team,away_team,kickoff_time,status
11,Crystal Palace,Man City,2026-08-28T19:00:00Z,AUTHENTICATED
14,Liverpool,Nott'm Forest,2026-08-29T11:30:00Z,AUTHENTICATED
12,Bournemouth,Everton,2026-08-29T14:00:00Z,AUTHENTICATED
13,Coventry City,Hull City,2026-08-29T14:00:00Z,AUTHENTICATED
15,Spurs,Newcastle,2026-08-29T16:30:00Z,AUTHENTICATED
16,Chelsea,Brighton,2026-08-30T13:00:00Z,AUTHENTICATED
17,Leeds,Brentford,2026-08-30T13:00:00Z,AUTHENTICATED
19,Sunderland,Fulham,2026-08-30T13:00:00Z,AUTHENTICATED
18,Man Utd,Ipswich Town,2026-08-30T15:30:00Z,AUTHENTICATED
20,Aston Villa,Arsenal,2026-08-31T19:00:00Z,AUTHENTICATED
