name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Alexander Isak,FWD,Newcastle,7.3,0,0,-3,0,15.8,401,0.03,0.74,0.71,0.91,119,2,0,4.1,0.0,2024-11-25T20:00:00Z,90,19,0,0,0,0,12,0,2223988,1,2,0,31.0,2,523212,552878,29666,85,True,0,2024-25,12,8.5,False,,,,,,,,,,,,FWD,alexander isak,2,90.0,72.0,8.666666666666666,5.6,0.6839999999999998,0.5720000000000001,0.11200000000000002,0.2,0.0,82.8,1.0,10.333333333333334,5.949999999999999,6.419999999999999,5.37,1,0,0
Andreas Hoelgebaum Pereira,MID,Fulham,1.7,0,0,7,0,36.0,240,0.15,0.19,0.04,0.76,115,2,0,4.8,9.6,2024-11-23T15:00:00Z,58,20,0,0,0,0,12,0,162709,1,4,1,2.0,0,-7374,5074,12448,52,True,1,2024-25,12,5.2,False,,,,,,,,,,,,MID,andreas hoelgebaum pereira,2,74.66666666666667,71.0,2.6666666666666665,3.2,0.6539999999999997,0.43200000000000005,0.22200000000000011,0.4,0.0,73.2,0.915,4.213333333333333,3.3306,6.269999999999999,5.4,1,0,0
Ashley Young,DEF,Everton,5.3,0,3,36,1,49.0,238,0.23,0.23,0.0,1.1,114,0,0,7.4,25.0,2024-11-23T15:00:00Z,90,4,0,0,0,0,12,0,140107,1,0,0,0.0,9,9382,18816,9434,45,True,0,2024-25,12,4.5,False,,,,,,,,,,,,DEF,ashley young,2,90.0,90.0,4.333333333333333,5.0,0.16599999999999973,0.026000000000000044,0.1400000000000002,0.6,0.0,90.0,1.0,5.266666666666667,3.15,6.229999999999999,5.3,1,0,0
Brennan Johnson,MID,Spurs,4.8,0,0,23,0,0.0,491,0.0,1.13,1.13,0.71,118,0,1,7.3,34.2,2024-11-23T17:30:00Z,27,13,0,0,0,0,12,0,970052,0,4,0,39.0,6,-287482,33845,321327,67,False,0,2024-25,12,6.7,False,,,,,,,,,,,,MID,brennan johnson,2,87.66666666666667,88.6,3.6666666666666665,4.0,0.6719999999999997,0.642,0.030000000000000242,0.0,0.0,88.03999999999999,1.0,5.613333333333333,4.6899999999999995,6.3599999999999985,6.69,1,0,0
Bryan Mbeumo,MID,Brentford,2.8,0,0,6,1,25.8,99,0.12,0.12,0.0,1.2,114,0,0,5.6,19.8,2024-11-23T15:00:00Z,90,8,0,0,0,0,12,0,4434729,1,0,0,10.0,3,-182253,148625,330878,79,False,0,2024-25,12,7.9,False,,,,,,,,,,,,MID,bryan mbeumo,2,88.66666666666667,89.2,7.666666666666667,6.6,0.5699999999999998,0.374,0.19600000000000023,0.2,0.0,88.88,1.0,9.293333333333333,5.53,5.85,5.47,1,0,0
Danny Welbeck,FWD,Brighton,3.0,0,0,8,1,25.4,148,0.03,0.03,0.0,1.12,113,0,0,4.0,12.2,2024-11-23T15:00:00Z,85,3,0,0,0,0,12,0,2402653,1,2,1,2.0,2,164468,262300,97832,60,False,0,2024-25,12,6.0,False,,,,,,,,,,,,FWD,danny welbeck,2,84.0,84.4,4.666666666666667,6.2,0.5619999999999998,0.5479999999999999,0.014000000000000087,0.4,0.0,84.16,1.0,6.133333333333335,4.199999999999999,5.809999999999999,5.0,0,0,0
Emerson Palmieri dos Santos,DEF,West Ham,5.3,1,0,33,1,16.5,520,0.05,0.05,0.0,1.6,119,0,0,5.5,36.2,2024-11-25T20:00:00Z,74,15,0,0,0,0,12,0,56935,1,2,0,2.0,9,-2350,1414,3764,44,False,0,2024-25,12,4.4,False,,,,,,,,,,,,DEF,emerson palmieri dos santos,2,86.0,86.0,2.6666666666666665,2.0,0.3739999999999997,0.18199999999999983,0.19200000000000023,0.2,0.0,86.0,1.0,3.8933333333333335,3.08,5.669999999999998,4.7,0,0,0
Erling Haaland,FWD,Man City,3.5,0,0,2,0,22.3,351,0.03,0.85,0.82,2.51,118,4,0,9.3,6.2,2024-11-23T17:30:00Z,90,18,0,0,0,0,12,0,6584276,1,4,0,64.0,2,-518598,32771,551369,152,True,0,2024-25,12,15.2,False,,,,,,,,,,,,FWD,erling haaland,2,90.0,90.0,4.333333333333333,3.4,0.9939999999999998,0.9679999999999997,0.02600000000000018,0.2,0.0,90.0,1.0,9.546666666666667,10.639999999999999,7.969999999999999,8.81,1,1,0
Facundo Buonanotte,MID,Leicester,0.0,0,0,0,0,0.0,117,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2024-11-23T12:30:00Z,0,6,0,0,0,0,12,0,170129,0,2,1,0.0,0,-103446,1853,105299,50,True,0,2024-25,12,5.0,False,,,,,,,,,,,,MID,facundo buonanotte,2,90.0,88.2,1.3333333333333333,4.2,0.5719999999999996,0.3979999999999998,0.17400000000000018,0.2,0.0,89.28,1.0,3.0666666666666664,3.5,5.859999999999998,5.48,1,0,0
James Tarkowski,DEF,Everton,5.3,0,1,33,1,33.1,236,0.11,0.11,0.0,1.1,114,0,0,7.9,39.6,2024-11-23T15:00:00Z,90,4,0,0,0,0,12,0,172143,1,0,0,6.0,7,10550,18184,7634,48,True,0,2024-25,12,4.8,False,,,,,,,,,,,,DEF,james tarkowski,2,90.0,90.0,3.3333333333333335,4.8,0.13999999999999924,0.015999999999999712,0.12400000000000007,0.6,0.0,90.0,1.0,4.586666666666667,3.36,6.099999999999996,5.16,1,0,0
