name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Antoine Semenyo,MID,Bournemouth,7.0,1,3,39,0,24.7,82,0.06,0.93,0.87,0.62,32,1,1,11.7,63.2,2025-09-13T14:00:00Z,90,6,0,0,0,0,4,0,4192375,1,1,2,29.0,13,1095316,1254193,158877,74,True,0,2025-26,4,7.4,False,,,,,,,,3.0,8.0,2.0,3.0,MID,antoine semenyo,3,90.0,90.0,7.666666666666667,8.2,0.5199999999999998,0.4680000000000001,0.05200000000000018,0.6,0.0,90.0,1.0,9.093333333333334,5.18,5.599999999999999,6.0,1,0,0
Bryan Mbeumo,MID,Man Utd,4.2,0,0,1,0,15.7,119,0.17,0.85,0.68,2.52,38,3,0,5.9,2.2,2025-09-14T15:30:00Z,90,13,0,0,0,0,4,0,1893535,1,0,3,41.0,2,108615,319642,211027,81,False,0,2025-26,4,8.1,False,,,,,,,,0.0,2.0,2.0,0.0,MID,bryan mbeumo,3,90.0,90.0,4.666666666666667,5.4,0.7119999999999997,0.46799999999999997,0.24400000000000022,0.0,0.0,90.0,1.0,6.9733333333333345,5.669999999999999,6.559999999999999,6.36,1,0,0
Chris Wood,FWD,Nott'm Forest,1.2,0,0,4,0,11.6,525,0.04,0.07,0.03,1.75,31,2,0,3.3,4.4,2025-09-13T11:30:00Z,59,1,0,0,0,0,4,0,2578387,1,0,3,17.0,1,-525097,132233,657330,77,False,0,2025-26,4,7.7,False,,,,,,,,1.0,1.0,0.0,0.0,FWD,chris wood,3,79.0,83.4,5.666666666666667,4.2,0.5899999999999996,0.55,0.04000000000000018,0.2,0.0,80.76,1.0,7.613333333333334,5.39,5.949999999999998,5.07,1,0,0
Daniel Muñoz Mejía,DEF,Crystal Palace,6.8,0,0,21,1,7.2,256,0.22,0.34,0.12,0.36,35,0,0,5.9,11.2,2025-09-13T14:00:00Z,90,17,0,0,0,0,4,0,1662666,1,0,0,41.0,5,438774,521650,82876,56,True,1,2025-26,4,5.6,False,,,,,,,,3.0,4.0,2.0,1.0,DEF,daniel muñoz mejía,3,90.0,90.0,6.333333333333333,5.0,0.2374999999999996,0.025,0.21250000000000013,0.5,0.0,90.0,1.0,7.306666666666667,3.9199999999999995,6.187499999999998,5.24,1,0,0
David Brooks,MID,Bournemouth,2.7,0,0,0,0,2.9,86,0.02,0.11,0.09,0.57,32,1,0,0.6,0.0,2025-09-13T14:00:00Z,66,6,0,0,0,0,4,0,48311,1,1,2,8.0,1,13344,21222,7878,50,True,1,2025-26,4,5.0,False,,,,,,,,0.0,6.0,6.0,0.0,MID,david brooks,3,70.66666666666667,63.8,3.6666666666666665,3.0,0.4959999999999997,0.21600000000000003,0.2800000000000001,0.6,0.0,67.92,0.849,4.933333333333334,2.9715,5.479999999999999,4.45,0,0,0
David Raya Martín,GK,Arsenal,5.2,0,0,24,1,0.0,1,0.0,0.0,0.0,0.2,31,0,0,1.3,12.8,2025-09-13T11:30:00Z,90,16,0,0,0,0,4,1,2765759,1,0,3,0.0,6,171289,289041,117752,55,True,0,2025-26,4,5.5,False,,,,,,,,0.0,0.0,9.0,0.0,GK,david raya martín,3,90.0,90.0,6.0,6.25,0.007499999999999556,0.0,0.007500000000000111,0.75,3.75,90.0,1.0,7.000000000000001,3.8499999999999996,6.037499999999998,6.2,1,0,0
Erling Haaland,FWD,Man City,8.5,0,3,63,1,12.9,430,0.01,1.81,1.8,1.42,38,0,2,16.2,78.8,2025-09-14T15:30:00Z,86,14,0,0,0,0,4,0,3931425,1,0,3,70.0,13,209666,435454,225788,141,True,0,2025-26,4,14.1,False,,,,,,,,6.0,8.0,2.0,0.0,FWD,erling haaland,3,84.0,83.6,8.0,6.4,1.0619999999999998,0.986,0.07600000000000019,0.6,0.0,83.84,1.0,12.040000000000001,9.87,8.309999999999999,8.3,1,1,0
Fabian Schär,DEF,Newcastle,5.5,0,0,28,1,11.3,474,0.03,0.03,0.0,0.5,39,0,0,4.2,28.6,2025-09-13T14:00:00Z,90,20,0,0,0,0,4,0,353352,1,0,1,2.0,8,28336,44614,16278,55,True,0,2025-26,4,5.5,False,,,,,,,,11.0,11.0,2.0,0.0,DEF,fabian schär,3,86.66666666666667,88.0,5.0,3.6,0.29999999999999966,0.2819999999999997,0.018000000000000176,0.4,0.0,87.2,1.0,6.2,3.8499999999999996,6.099999999999998,5.74,1,0,0
Gabriel Gudmundsson,DEF,Leeds,2.2,0,0,6,0,8.2,347,0.06,0.06,0.0,0.85,37,1,0,1.4,3.4,2025-09-13T14:00:00Z,90,10,1,0,0,0,4,0,599367,1,0,1,2.0,0,169155,222984,53829,40,False,0,2025-26,4,4.0,False,,,,,,,,2.0,4.0,4.0,2.0,DEF,gabriel gudmundsson,3,86.33333333333333,64.75,5.666666666666667,4.25,0.08499999999999927,0.04249999999999956,0.04250000000000031,0.5,0.0,77.7,0.9712500000000001,6.133333333333335,2.7195,5.424999999999996,4.44,0,0,0
Iliman Ndiaye,MID,Everton,5.0,0,0,18,1,27.8,299,0.19,0.21,0.02,0.54,36,0,0,5.5,15.2,2025-09-13T14:00:00Z,90,2,0,0,0,0,4,0,984399,1,0,0,12.0,5,-74867,125628,200495,65,True,0,2025-26,4,6.5,False,,,,,,,,2.0,14.0,10.0,2.0,MID,iliman ndiaye,3,81.0,78.4,5.666666666666667,6.4,0.5039999999999993,0.4639999999999997,0.040000000000000105,0.6,0.0,79.96000000000001,0.9995,7.133333333333335,4.547725,5.519999999999997,5.48,1,0,0
Ismaïla Sarr,MID,Crystal Palace,0.0,0,0,0,0,0.0,267,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,17,0,0,0,0,4,0,513146,0,0,0,0.0,0,-200110,150881,350991,65,True,0,2025-26,4,6.5,False,,,,,,,,0.0,0.0,0.0,0.0,MID,ismaïla sarr,3,90.0,84.4,6.0,6.4,0.6979999999999993,0.6019999999999996,0.09600000000000007,0.4,0.0,87.76,1.0,7.4,4.55,6.489999999999997,6.63,1,0,1
Jake O'Brien,DEF,Everton,4.3,0,0,26,1,15.4,293,0.06,0.11,0.05,0.54,36,0,0,3.7,16.2,2025-09-13T14:00:00Z,90,2,0,0,0,0,4,0,61700,1,0,0,5.0,6,-4663,4193,8856,50,True,0,2025-26,4,5.0,False,,,,,,,,4.0,6.0,3.0,2.0,DEF,jake o'brien,3,90.0,90.0,3.0,4.4,0.07199999999999925,0.0639999999999997,0.008000000000000066,0.6,0.0,90.0,1.0,4.4,3.5,5.759999999999996,5.07,1,0,0
Jean-Philippe Mateta,FWD,Crystal Palace,3.5,0,0,4,1,1.3,283,0.01,0.6,0.59,0.36,35,0,0,6.3,11.6,2025-09-13T14:00:00Z,90,17,0,0,0,0,4,0,1515398,1,0,0,50.0,2,490708,612841,122133,75,True,0,2025-26,4,7.5,False,,,,,,,,5.0,9.0,4.0,0.0,FWD,jean-philippe mateta,3,87.0,66.2,2.6666666666666665,2.2,0.4959999999999993,0.42399999999999977,0.07200000000000017,0.6,0.0,78.68,0.9835,5.133333333333333,5.163375,5.479999999999997,4.33,0,0,0
Jordan Pickford,GK,Everton,7.3,0,0,24,1,0.0,287,0.0,0.0,0.0,0.54,36,0,0,0.9,8.6,2025-09-13T14:00:00Z,90,2,0,0,0,0,4,1,1384508,1,0,0,0.0,6,-21243,74278,95521,55,True,0,2025-26,4,5.5,False,,,,,,,,1.0,0.0,9.0,0.0,GK,jordan pickford,3,90.0,90.0,6.0,7.0,0.003999999999999334,0.0,0.004000000000000111,0.6,3.2,90.0,1.0,7.000000000000001,3.8499999999999996,5.419999999999996,6.01,0,0,0
Marc Cucurella Saseta,DEF,Chelsea,4.5,0,0,6,0,23.5,224,0.02,0.08,0.06,0.87,33,1,0,5.8,15.4,2025-09-13T19:00:00Z,45,5,0,0,0,0,4,0,3370876,0,2,2,19.0,1,165537,332590,167053,61,False,0,2025-26,4,6.1,False,,,,,,,,3.0,5.0,2.0,2.0,DEF,marc cucurella saseta,3,82.66666666666667,85.6,6.333333333333333,8.4,0.1499999999999991,0.053999999999999916,0.09600000000000004,0.8,0.0,83.84,1.0,7.506666666666666,4.27,6.949999999999996,5.35,1,0,0
